,year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
92,1980,"CARTER, JIMMY",124266.0,604152.0,"REAGAN, RONALD",439687.0,40199.0,Utah,,,1461037.0
93,1980,"CARTER, JIMMY",81952.0,213299.0,"REAGAN, RONALD",94628.0,36719.0,Vermont,,,511456.0
94,1980,"CARTER, JIMMY",752174.0,1866032.0,"REAGAN, RONALD",989609.0,124249.0,Virginia,,,5346818.0
95,1980,"CARTER, JIMMY",650193.0,1742394.0,"REAGAN, RONALD",865244.0,226957.0,Washington,,,4132156.0
96,1980,"CARTER, JIMMY",367462.0,737715.0,"REAGAN, RONALD",334206.0,36047.0,West Virginia,,,1949644.0
97,1980,"CARTER, JIMMY",981584.0,2273221.0,"REAGAN, RONALD",1088845.0,202792.0,Wisconsin,,,4705767.0
98,1980,"CARTER, JIMMY",49427.0,176713.0,"REAGAN, RONALD",110700.0,16586.0,Wyoming,,,469557.0
99,1984,"MONDALE, WALTER",551899.0,1441713.0,"REAGAN, RONALD",872849.0,16965.0,Alabama,41190.0,1440.0,
100,1984,"MONDALE, WALTER",62007.0,207605.0,"REAGAN, RONALD",138377.0,7221.0,Alaska,76992.0,3505.0,
101,1984,"MONDALE, WALTER",333854.0,1025897.0,"REAGAN, RONALD",681416.0,10627.0,Arizona,50981.0,1449.0,
102,1984,"MONDALE, WALTER",338646.0,884406.0,"REAGAN, RONALD",534774.0,10986.0,Arkansas,37297.0,1780.0,
103,1984,"MONDALE, WALTER",3922519.0,9505041.0,"REAGAN, RONALD",5467009.0,115513.0,California,60171.0,866.0,
104,1984,"MONDALE, WALTER",454975.0,1295380.0,"REAGAN, RONALD",821817.0,18588.0,Colorado,61394.0,1916.0,
105,1984,"MONDALE, WALTER",569597.0,1466900.0,"REAGAN, RONALD",890877.0,6426.0,Connecticut,71269.0,2946.0,
106,1984,"MONDALE, WALTER",101656.0,254572.0,"REAGAN, RONALD",152190.0,726.0,Delaware,61437.0,2444.0,
107,1984,"MONDALE, WALTER",180408.0,211288.0,"REAGAN, RONALD",29009.0,1871.0,District Of Columbia,,,
108,1984,"MONDALE, WALTER",1448816.0,4180051.0,"REAGAN, RONALD",2730350.0,885.0,Florida,47079.0,1114.0,
109,1984,"MONDALE, WALTER",706628.0,1776103.0,"REAGAN, RONALD",1068722.0,753.0,Georgia,47552.0,1939.0,
110,1984,"MONDALE, WALTER",147154.0,335846.0,"REAGAN, RONALD",185050.0,3642.0,Hawaii,68714.0,2894.0,
111,1984,"MONDALE, WALTER",108510.0,411144.0,"REAGAN, RONALD",297523.0,5111.0,Idaho,50189.0,2291.0,
112,1984,"MONDALE, WALTER",2086499.0,4819088.0,"REAGAN, RONALD",2707103.0,25486.0,Illinois,56518.0,1349.0,
