year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
1996,"CLINTON, BILL",312788.0,605897.0,"DOLE, ROBERT",186378.0,106731.0,Maine,57182.0,1996.0,1274923.0
1996,"CLINTON, BILL",966207.0,1780870.0,"DOLE, ROBERT",681530.0,133133.0,Maryland,72504.0,4227.0,5296486.0
1996,"CLINTON, BILL",1571509.0,2556459.0,"DOLE, ROBERT",718058.0,266892.0,Massachusetts,65089.0,3184.0,6349097.0
1996,"CLINTON, BILL",1989653.0,3848844.0,"DOLE, ROBERT",1481212.0,377979.0,Michigan,64646.0,1884.0,9938444.0
1996,"CLINTON, BILL",1120380.0,2192492.0,"DOLE, ROBERT",766395.0,305717.0,Minnesota,67556.0,2019.0,4919479.0
1996,"CLINTON, BILL",394022.0,893857.0,"DOLE, ROBERT",439838.0,59997.0,Mississippi,43966.0,2169.0,2844658.0
1996,"CLINTON, BILL",1025935.0,2158065.0,"DOLE, ROBERT",890016.0,242114.0,Missouri,56471.0,2494.0,5595211.0
1996,"CLINTON, BILL",167922.0,407083.0,"DOLE, ROBERT",179652.0,59509.0,Montana,47273.0,2581.0,902195.0
1996,"CLINTON, BILL",236761.0,677415.0,"DOLE, ROBERT",363467.0,77187.0,Nebraska,56058.0,2472.0,1711263.0
1996,"CLINTON, BILL",203974.0,464279.0,"DOLE, ROBERT",199244.0,61061.0,Nevada,63517.0,2662.0,1998257.0
1996,"CLINTON, BILL",246166.0,496597.0,"DOLE, ROBERT",196486.0,53945.0,New Hampshire,64946.0,2858.0,1235786.0
1996,"CLINTON, BILL",1652361.0,3075860.0,"DOLE, ROBERT",1103099.0,320400.0,New Jersey,78231.0,2006.0,8414350.0
1996,"CLINTON, BILL",273495.0,556074.0,"DOLE, ROBERT",232751.0,49828.0,New Mexico,41344.0,1798.0,1819046.0
1996,"CLINTON, BILL",3649630.0,6439129.0,"DOLE, ROBERT",1738707.0,1050792.0,New York,58358.0,1229.0,18976457.0
1996,"CLINTON, BILL",1107849.0,2515807.0,"DOLE, ROBERT",1225938.0,182020.0,North Carolina,58673.0,1661.0,8049313.0
1996,"CLINTON, BILL",106905.0,266411.0,"DOLE, ROBERT",125050.0,34456.0,North Dakota,51865.0,1951.0,642200.0
1996,"CLINTON, BILL",2148222.0,4534434.0,"DOLE, ROBERT",1859883.0,526329.0,Ohio,56150.0,1752.0,11353140.0
1996,"CLINTON, BILL",488105.0,1206713.0,"DOLE, ROBERT",582315.0,136293.0,Oklahoma,45218.0,1795.0,3450654.0
1996,"CLINTON, BILL",649641.0,1377760.0,"DOLE, ROBERT",538152.0,189967.0,Oregon,58494.0,2100.0,3421399.0
1996,"CLINTON, BILL",2215819.0,4501307.0,"DOLE, ROBERT",1801169.0,484319.0,Pennsylvania,57516.0,1605.0,12281054.0
1996,"CLINTON, BILL",233050.0,390247.0,"DOLE, ROBERT",104683.0,52514.0,Rhode Island,60956.0,1707.0,1048319.0
1996,"CLINTON, BILL",506152.0,1150182.0,"DOLE, ROBERT",573339.0,70691.0,South Carolina,57131.0,2316.0,4012012.0
1996,"CLINTON, BILL",139333.0,323826.0,"DOLE, ROBERT",150543.0,33950.0,South Dakota,48661.0,1653.0,754844.0
1996,"CLINTON, BILL",909146.0,1894105.0,"DOLE, ROBERT",863530.0,121429.0,Tennessee,50744.0,1791.0,5689283.0
